"status","result__focalYear","result__focalSample","result__targetYear","result__targetSample","result__statType","result__subject","result__grade","result__jurisdiction","result__scale","result__variable","result__variableLabel","result__valLabel","result__valValue","result__focalValue","result__isFocalStatDisplayable","result__focalErrorFlag","result__targetValue","result__isTargetStatDisplayable","result__targetErrorFlag","result__isSigDisplayable","result__gap","result__sig"
"200","2009","R3","2017","R3","MN:MN","RED","4","AK","RRPCM","GENDER","Gender","Male","1","206.724229238307","1","0","203.051301733822","1","0","1","3.67292750448502","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","AK","RRPCM","GENDER","Gender","Female","2","215.71123377191","1","0","211.343342655427","1","0","1","4.36789111648301","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","AL","RRPCM","GENDER","Gender","Male","1","211.741930523666","1","0","212.821109127363","1","0","1","-1.07917860369699","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","AL","RRPCM","GENDER","Gender","Female","2","221.100698822002","1","0","220.00659985074","1","0","1","1.09409897126199","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","AR","RRPCM","GENDER","Gender","Male","1","210.975857970207","1","0","211.742620046806","1","0","1","-0.766762076599008","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","AR","RRPCM","GENDER","Gender","Female","2","221.564513112664","1","0","220.633009661892","1","0","1","0.931503450771999","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","AZ","RRPCM","GENDER","Gender","Male","1","206.91368007731","1","0","213.462670407749","1","0","1","-6.54899033043898","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","AZ","RRPCM","GENDER","Gender","Female","2","213.189224464919","1","0","217.52022692494","1","0","1","-4.33100246002101","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","CA","RRPCM","GENDER","Gender","Male","1","207.05521802869","1","0","210.770608174651","1","0","1","-3.71539014596098","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","CA","RRPCM","GENDER","Gender","Female","2","212.637645495975","1","0","220.293138391767","1","0","1","-7.65549289579201","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","CO","RRPCM","GENDER","Gender","Male","1","222.255777048415","1","0","221.616405581263","1","0","1","0.639371467152017","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","CO","RRPCM","GENDER","Gender","Female","2","229.229587744303","1","0","228.020431406647","1","0","1","1.209156337656","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","CT","RRPCM","GENDER","Gender","Male","1","224.539053221183","1","0","225.698849929144","1","0","1","-1.15979670796099","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","CT","RRPCM","GENDER","Gender","Female","2","233.503625819799","1","0","231.069405346695","1","0","1","2.43422047310401","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","DC","RRPCM","GENDER","Gender","Male","1","198.09476619822","1","0","209.705916844349","1","0","1","-11.611150646129","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","DC","RRPCM","GENDER","Gender","Female","2","205.745940436248","1","0","217.072684685453","1","0","1","-11.326744249205","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","DE","RRPCM","GENDER","Gender","Male","1","222.871741913992","1","0","217.021409498135","1","0","1","5.850332415857","HIGHER"
"","2009","R3","2017","R3","MN:MN","RED","4","DE","RRPCM","GENDER","Gender","Female","2","228.188623248368","1","0","226.004407373958","1","0","1","2.18421587441","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","FL","RRPCM","GENDER","Gender","Male","1","222.520196142602","1","0","226.087476173822","1","0","1","-3.56728003122001","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","FL","RRPCM","GENDER","Gender","Female","2","228.864213100664","1","0","230.529306500008","1","0","1","-1.66509339934402","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","GA","RRPCM","GENDER","Gender","Male","1","214.285713784052","1","0","215.996047534845","1","0","1","-1.71033375079298","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","GA","RRPCM","GENDER","Gender","Female","2","221.361034926051","1","0","223.466198208395","1","0","1","-2.10516328234402","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","HI","RRPCM","GENDER","Gender","Male","1","205.133223911118","1","0","211.964397509755","1","0","1","-6.83117359863701","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","HI","RRPCM","GENDER","Gender","Female","2","216.667260582377","1","0","221.162989929584","1","0","1","-4.495729347207","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","IA","RRPCM","GENDER","Gender","Male","1","216.969432319102","1","0","218.886824800057","1","0","1","-1.91739248095502","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","IA","RRPCM","GENDER","Gender","Female","2","225.965447997092","1","0","224.767283922007","1","0","1","1.198164075085","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","ID","RRPCM","GENDER","Gender","Male","1","216.529222795299","1","0","220.323142554217","1","0","1","-3.79391975891798","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","ID","RRPCM","GENDER","Gender","Female","2","225.508265322656","1","0","225.360096393287","1","0","1","0.148168929369007","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","IL","RRPCM","GENDER","Gender","Male","1","214.842384601743","1","0","217.198768621803","1","0","1","-2.35638402006001","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","IL","RRPCM","GENDER","Gender","Female","2","223.512982096406","1","0","223.511770872528","1","0","1","0.0012112238780162","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","IN","RRPCM","GENDER","Gender","Male","1","218.396813447311","1","0","224.220775450879","1","0","1","-5.823962003568","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","IN","RRPCM","GENDER","Gender","Female","2","227.069615397749","1","0","228.740295037493","1","0","1","-1.67067963974401","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","KS","RRPCM","GENDER","Gender","Male","1","222.158194640842","1","0","220.723398049181","1","0","1","1.43479659166101","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","KS","RRPCM","GENDER","Gender","Female","2","225.824207593009","1","0","226.005758322008","1","0","1","-0.181550728999014","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","KY","RRPCM","GENDER","Gender","Male","1","222.348690278903","1","0","221.930019891246","1","0","1","0.418670387657016","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","KY","RRPCM","GENDER","Gender","Female","2","228.90135467551","1","0","226.277315777135","1","0","1","2.62403889837501","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","LA","RRPCM","GENDER","Gender","Male","1","202.971474175985","1","0","210.247423978306","1","0","1","-7.27594980232098","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","LA","RRPCM","GENDER","Gender","Female","2","212.286301426941","1","0","213.016657659177","1","0","1","-0.730356232236005","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MA","RRPCM","GENDER","Gender","Male","1","231.140131812917","1","0","232.940258922696","1","0","1","-1.800127109779","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MA","RRPCM","GENDER","Gender","Female","2","236.323798098131","1","0","238.509168665121","1","0","1","-2.18537056699","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MD","RRPCM","GENDER","Gender","Male","1","222.517762891336","1","0","220.695510677558","1","0","1","1.822252213778","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MD","RRPCM","GENDER","Gender","Female","2","229.438725108764","1","0","229.591087720435","1","0","1","-0.152362611671009","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","ME","RRPCM","GENDER","Gender","Male","1","219.580233724396","1","0","219.211034892129","1","0","1","0.369198832267017","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","ME","RRPCM","GENDER","Gender","Female","2","228.09681605876","1","0","223.598183573783","1","0","1","4.49863248497701","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MI","RRPCM","GENDER","Gender","Male","1","214.395790902785","1","0","213.585807345429","1","0","1","0.809983557355991","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MI","RRPCM","GENDER","Gender","Female","2","222.144885248935","1","0","221.986425060769","1","0","1","0.158460188166003","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MN","RRPCM","GENDER","Gender","Male","1","219.818746175199","1","0","221.96072873262","1","0","1","-2.14198255742099","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MN","RRPCM","GENDER","Gender","Female","2","226.975180428138","1","0","227.147806435579","1","0","1","-0.172626007441011","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MO","RRPCM","GENDER","Gender","Male","1","218.974983243073","1","0","220.501487280853","1","0","1","-1.52650403778","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MO","RRPCM","GENDER","Gender","Female","2","229.094861254583","1","0","224.976277102049","1","0","1","4.118584152534","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MS","RRPCM","GENDER","Gender","Male","1","207.630693401342","1","0","211.578245054099","1","0","1","-3.947551652757","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MS","RRPCM","GENDER","Gender","Female","2","213.475302408188","1","0","218.945226619785","1","0","1","-5.46992421159698","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","MT","RRPCM","GENDER","Gender","Male","1","221.782660533959","1","0","220.226392772312","1","0","1","1.55626776164698","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","MT","RRPCM","GENDER","Gender","Female","2","227.604838638613","1","0","224.626018990616","1","0","1","2.978819647997","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NC","RRPCM","GENDER","Gender","Male","1","214.787784315963","1","0","221.169723371429","1","0","1","-6.38193905546601","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","NC","RRPCM","GENDER","Gender","Female","2","224.020927800913","1","0","226.831784915533","1","0","1","-2.81085711462001","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","ND","RRPCM","GENDER","Gender","Male","1","223.10733715341","1","0","216.681968313061","1","0","1","6.42536884034899","HIGHER"
"","2009","R3","2017","R3","MN:MN","RED","4","ND","RRPCM","GENDER","Gender","Female","2","228.918589190256","1","0","226.695690162753","1","0","1","2.22289902750299","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NE","RRPCM","GENDER","Gender","Male","1","219.672502281107","1","0","220.766447010768","1","0","1","-1.09394472966099","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NE","RRPCM","GENDER","Gender","Female","2","225.466860068808","1","0","227.653592283378","1","0","1","-2.18673221457001","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NH","RRPCM","GENDER","Gender","Male","1","225.854005922464","1","0","227.622394974737","1","0","1","-1.76838905227299","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NH","RRPCM","GENDER","Gender","Female","2","232.652953917983","1","0","230.211538511073","1","0","1","2.44141540691001","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NJ","RRPCM","GENDER","Gender","Male","1","227.109877186229","1","0","228.676745937908","1","0","1","-1.56686875167901","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NJ","RRPCM","GENDER","Gender","Female","2","231.698153593304","1","0","237.391471562469","1","0","1","-5.69331796916501","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","NM","RRPCM","GENDER","Gender","Male","1","202.834368920931","1","0","203.95849177772","1","0","1","-1.124122856789","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NM","RRPCM","GENDER","Gender","Female","2","212.594839630945","1","0","211.604810746191","1","0","1","0.990028884753997","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NP","RRPCM","GENDER","Gender","Male","1","216.172663167435","1","0","217.87646106032","1","0","1","-1.70379789288501","LOWER"
"","2009","R3","2017","R3","MN:MN","RED","4","NP","RRPCM","GENDER","Gender","Female","2","223.135706072189","1","0","223.868642241135","1","0","1","-0.732936168945997","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NV","RRPCM","GENDER","Gender","Male","1","208.25779060966","1","0","211.246493975832","1","0","1","-2.98870336617202","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NV","RRPCM","GENDER","Gender","Female","2","213.976553663381","1","0","218.533053464335","1","0","1","-4.55649980095401","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NY","RRPCM","GENDER","Gender","Male","1","220.794695402466","1","0","219.024012162552","1","0","1","1.77068323991401","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","NY","RRPCM","GENDER","Gender","Female","2","228.10994829596","1","0","224.779674676619","1","0","1","3.330273619341","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","OH","RRPCM","GENDER","Gender","Male","1","221.643488648998","1","0","223.497847648411","1","0","1","-1.85435899941302","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","OH","RRPCM","GENDER","Gender","Female","2","227.359368695241","1","0","227.098999529729","1","0","1","0.260369165511975","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","OK","RRPCM","GENDER","Gender","Male","1","213.965077337446","1","0","212.884139747191","1","0","1","1.08093759025499","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","OK","RRPCM","GENDER","Gender","Female","2","220.360614411778","1","0","220.405491055469","1","0","1","-0.0448766436910262","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","OR","RRPCM","GENDER","Gender","Male","1","214.119580511062","1","0","212.403146769556","1","0","1","1.71643374150599","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","OR","RRPCM","GENDER","Gender","Female","2","222.500492043449","1","0","222.780554610986","1","0","1","-0.280062567537016","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","PA","RRPCM","GENDER","Gender","Male","1","221.348590389687","1","0","224.111122237425","1","0","1","-2.76253184773802","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","PA","RRPCM","GENDER","Gender","Female","2","226.130538682297","1","0","225.756307280793","1","0","1","0.374231401503977","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","RI","RRPCM","GENDER","Gender","Male","1","217.865993291219","1","0","220.605576552592","1","0","1","-2.73958326137299","EQUAL"
"","2009","R3","2017","R3","MN:MN","RED","4","RI","RRPCM","GENDER","Gender","Female","2","227.788354564659","1","0","226.151685503661","1","0","1","1.63666906099797","EQUAL"
